trackId                  ,name                                   ,danceability ,energy ,key ,loudness ,mode ,speechiness ,acousticness ,instrumentalness ,liveness ,valence ,tempo   ,type             ,id                       ,uri                                    ,track_href                                                 ,analysis_url                                                       ,duration_ms ,time_signature
"0pipZCAXwFPd4efn3xU4x3" ,"Jealousy"                             ,       0.668 ,0.165  ,  7 ,-12.91   ,   1 ,     0.0701 ,    0.569    ,      0.0000354  ,  0.172  , 0.258  ,103.462 ,"audio_features" ,"0pipZCAXwFPd4efn3xU4x3" ,"spotify:track:0pipZCAXwFPd4efn3xU4x3" ,"https://api.spotify.com/v1/tracks/0pipZCAXwFPd4efn3xU4x3" ,"https://api.spotify.com/v1/audio-analysis/0pipZCAXwFPd4efn3xU4x3" ,     320733 ,             4
"0qDG9MjRZISlT31enV6xOA" ,"Let the Good Times Roll"              ,       0.644 ,0.757  ,  0 ,-4.773   ,   1 ,     0.0367 ,    0.166    ,      0          ,  0.943  , 0.501  ,112.056 ,"audio_features" ,"0qDG9MjRZISlT31enV6xOA" ,"spotify:track:0qDG9MjRZISlT31enV6xOA" ,"https://api.spotify.com/v1/tracks/0qDG9MjRZISlT31enV6xOA" ,"https://api.spotify.com/v1/audio-analysis/0qDG9MjRZISlT31enV6xOA" ,     189360 ,             4
"0VONB1WEbtmatvlsmaPZKj" ,"Rosalyn"                              ,       0.48  ,0.231  ,  8 ,-14.54   ,   1 ,     0.047  ,    0.778    ,      0          ,  0.103  , 0.35   , 77.697 ,"audio_features" ,"0VONB1WEbtmatvlsmaPZKj" ,"spotify:track:0VONB1WEbtmatvlsmaPZKj" ,"https://api.spotify.com/v1/tracks/0VONB1WEbtmatvlsmaPZKj" ,"https://api.spotify.com/v1/audio-analysis/0VONB1WEbtmatvlsmaPZKj" ,     241080 ,             4
"0XwrsfUtf47y3z1kS81Hql" ,"Does it Ever Cross Your Mind"         ,       0.408 ,0.016  ,  4 ,-19.054  ,   1 ,     0.0418 ,    0.937    ,      0.0168     ,  0.112  , 0.245  ,124.316 ,"audio_features" ,"0XwrsfUtf47y3z1kS81Hql" ,"spotify:track:0XwrsfUtf47y3z1kS81Hql" ,"https://api.spotify.com/v1/tracks/0XwrsfUtf47y3z1kS81Hql" ,"https://api.spotify.com/v1/audio-analysis/0XwrsfUtf47y3z1kS81Hql" ,     163640 ,             4
"0z3cJsLM4vvmdZJ8lulR5t" ,"Something Perfect"                    ,       0.554 ,0.759  , 11 ,-6.331   ,   0 ,     0.0339 ,    0.000828 ,      0.00648    ,  0.0775 , 0.321  ,115.028 ,"audio_features" ,"0z3cJsLM4vvmdZJ8lulR5t" ,"spotify:track:0z3cJsLM4vvmdZJ8lulR5t" ,"https://api.spotify.com/v1/tracks/0z3cJsLM4vvmdZJ8lulR5t" ,"https://api.spotify.com/v1/audio-analysis/0z3cJsLM4vvmdZJ8lulR5t" ,     190240 ,             4
"12rcsuv4QgpfAGlYaYj43c" ,"We Can Go Anywhere"                   ,       0.371 ,0.682  ,  9 ,-5.396   ,   1 ,     0.0313 ,    0.122    ,      0.00967    ,  0.0857 , 0.322  ,127.292 ,"audio_features" ,"12rcsuv4QgpfAGlYaYj43c" ,"spotify:track:12rcsuv4QgpfAGlYaYj43c" ,"https://api.spotify.com/v1/tracks/12rcsuv4QgpfAGlYaYj43c" ,"https://api.spotify.com/v1/audio-analysis/12rcsuv4QgpfAGlYaYj43c" ,     375107 ,             4
"14uhiVl5NwPDCmlRUgo4l6" ,"Love & War in Your Twenties"          ,       0.736 ,0.525  ,  2 ,-9.694   ,   1 ,     0.0296 ,    0.22     ,      0.00153    ,  0.127  , 0.529  ,102.986 ,"audio_features" ,"14uhiVl5NwPDCmlRUgo4l6" ,"spotify:track:14uhiVl5NwPDCmlRUgo4l6" ,"https://api.spotify.com/v1/tracks/14uhiVl5NwPDCmlRUgo4l6" ,"https://api.spotify.com/v1/audio-analysis/14uhiVl5NwPDCmlRUgo4l6" ,     250547 ,             4
"18gbbV2VidYvGSblo3aGVt" ,"A Gathering On 57th"                  ,       0.52  ,0.129  ,  0 ,-15.577  ,   1 ,     0.0356 ,    0.958    ,      0.919      ,  0.371  , 0.51   , 74.227 ,"audio_features" ,"18gbbV2VidYvGSblo3aGVt" ,"spotify:track:18gbbV2VidYvGSblo3aGVt" ,"https://api.spotify.com/v1/tracks/18gbbV2VidYvGSblo3aGVt" ,"https://api.spotify.com/v1/audio-analysis/18gbbV2VidYvGSblo3aGVt" ,      90973 ,             3
"1BrU8tQjSCR2kEkouF0ldN" ,"Horizon"                              ,       0.492 ,0.655  ,  2 ,-8.195   ,   1 ,     0.0293 ,    0.0838   ,      0.388      ,  0.126  , 0.409  , 94.309 ,"audio_features" ,"1BrU8tQjSCR2kEkouF0ldN" ,"spotify:track:1BrU8tQjSCR2kEkouF0ldN" ,"https://api.spotify.com/v1/tracks/1BrU8tQjSCR2kEkouF0ldN" ,"https://api.spotify.com/v1/audio-analysis/1BrU8tQjSCR2kEkouF0ldN" ,     193493 ,             4
"1dkdkugKNWnTtymesLcxGG" ,"Lilyflower"                           ,       0.589 ,0.127  ,  3 ,-13.227  ,   1 ,     0.0325 ,    0.874    ,      0.0002     ,  0.138  , 0.262  ,102.581 ,"audio_features" ,"1dkdkugKNWnTtymesLcxGG" ,"spotify:track:1dkdkugKNWnTtymesLcxGG" ,"https://api.spotify.com/v1/tracks/1dkdkugKNWnTtymesLcxGG" ,"https://api.spotify.com/v1/audio-analysis/1dkdkugKNWnTtymesLcxGG" ,     202507 ,             4
"1DQzw4dCdY5iGnOPNHEoPz" ,"She"                                  ,       0.505 ,0.81   ,  6 ,-5.759   ,   1 ,     0.0317 ,    0.0026   ,      0.0522     ,  0.084  , 0.244  , 93.462 ,"audio_features" ,"1DQzw4dCdY5iGnOPNHEoPz" ,"spotify:track:1DQzw4dCdY5iGnOPNHEoPz" ,"https://api.spotify.com/v1/tracks/1DQzw4dCdY5iGnOPNHEoPz" ,"https://api.spotify.com/v1/audio-analysis/1DQzw4dCdY5iGnOPNHEoPz" ,     242550 ,             4
"1GgoypuXSxpTKOxEYiZ3JJ" ,"Drive"                                ,       0.567 ,0.862  ,  2 ,-4.073   ,   1 ,     0.0384 ,    0.0131   ,      0          ,  0.0608 , 0.61   ,126.066 ,"audio_features" ,"1GgoypuXSxpTKOxEYiZ3JJ" ,"spotify:track:1GgoypuXSxpTKOxEYiZ3JJ" ,"https://api.spotify.com/v1/tracks/1GgoypuXSxpTKOxEYiZ3JJ" ,"https://api.spotify.com/v1/audio-analysis/1GgoypuXSxpTKOxEYiZ3JJ" ,     197387 ,             4
