index,id,artist,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
36,600oiqLkQIJ85HvQGIQWvO,The Script,"The Last Time",0.521,0.746,5,-3.421,1,0.0349,0.0486,0,0.236,0.15,132.014,196107,4
37,15JVqbFEDFosNfeWOaVo88,The National Parks,"Places",0.526,0.743,2,-5.122,1,0.0435,0.122,0.0000108,0.0566,0.288,127.944,195924,4
38,6K0b2FYLwAbq90OgmrMvdg,Matthew Mole,"Let Me",0.584,0.741,2,-7.695,1,0.0459,0.26,0.0000394,0.051,0.961,177.465,229562,3
39,4ztgjcOsR0HGsm1vkzh0Ky,Ben Rector,"Sunday (feat. Snoop Dogg)",0.744,0.739,2,-5.456,1,0.0482,0.334,0.0000253,0.0617,0.973,150.014,202093,4
40,2BkyYZmU4JuWW2sYi9EzpC,Dean Lewis,"7 Minutes",0.614,0.739,10,-6.478,1,0.0314,0.526,0,0.149,0.711,104.955,211453,4
41,1ApB2QRPQi3MlBUFeegVUr,Andreas Moe,"Something Right",0.731,0.738,2,-5.675,1,0.0634,0.28,0,0.711,0.598,95.02,243583,4
42,4BdGO1CaObRD4La9l5Zanz,Foster The People,"Sit Next to Me",0.638,0.738,6,-4.976,0,0.0292,0.117,0.000384,0.689,0.657,97.021,243147,4
43,75yHLmXyBRvPa1e8czGlxu,Ben Rector,"Supernatural (feat. Dave Koz)",0.68,0.735,9,-7.107,0,0.0456,0.00291,0.00861,0.118,0.685,111.026,267267,4
44,0R7EWhquaAICmyE5MZqt3q,Ben Rector,"Living My Best Life",0.566,0.733,4,-5.302,1,0.0699,0.083,0.00000155,0.362,0.636,178.828,215213,4
45,0dxaY8QH7eD9SE5HRjxNKI,Fergus James,"Backseat",0.602,0.732,1,-3.282,1,0.0254,0.0242,0,0.0923,0.449,100.013,176636,4
46,3brmDf3GLNsiWxJobTCn4a,Florence + The Machine,"Never Let Me Go",0.459,0.727,9,-3.24,1,0.0359,0.297,0.0000103,0.38,0.263,145.093,271377,4
47,4aeXMlGikze99fS0PFergJ,The National Parks,"Come Closer",0.522,0.721,4,-5.659,0,0.0474,0.0446,0.000548,0.351,0.458,140.006,197123,4
48,6Ek1l5BODK5Y0BErHkOWrj,Andreas Moe,"Bus Stop",0.47,0.721,11,-5.523,1,0.0432,0.274,0,0.114,0.511,99.435,174147,4
49,6upqycHdFZkd1JzVeqjnGo,NEEDTOBREATHE,"Dreams (feat. Judah & The Lion)",0.438,0.721,1,-5.37,1,0.0407,0.118,0.00000253,0.085,0.325,167.9,249467,4
50,2KuDjmr5mllSNgpk1PtVd5,Stephen Sanchez,"Hold Her While You Can",0.502,0.718,2,-5.87,1,0.0303,0.0181,0.00000831,0.289,0.36,89.976,264013,4
51,4RE3vueod5PL48rvHtuu9C,James Bay,"Peer Pressure",0.631,0.715,1,-6.083,0,0.0277,0.0299,0,0.122,0.42,135.826,176827,4
52,63q3GlHZstxXzfb0zt7ZYY,The Lumineers,"BRIGHTSIDE",0.549,0.715,10,-7.01,1,0.0356,0.359,0,0.101,0.555,134.074,229773,4
53,3CN9WtSBqCI6TXne9XNomb,The Lumineers,"Gloria",0.523,0.714,11,-6.021,1,0.0367,0.658,0.0000052,0.0785,0.659,78.211,216120,4
54,6Od2OWvoT4embWAgIGeFRd,Vance Joy,"Like Gold",0.477,0.712,7,-6.759,1,0.0653,0.224,0.00000836,0.118,0.407,109.965,224400,4
55,7w87IxuO7BDcJ3YUqCyMTT,Foster The People,"Pumped Up Kicks",0.733,0.71,5,-5.849,0,0.0292,0.145,0.115,0.0956,0.965,127.975,239600,4
56,4qwjkpSiA4XZXNmk0Cmpfi,Ben Rector,"Duo",0.703,0.708,11,-4.826,1,0.122,0.0664,0.00265,0.214,0.739,80.139,202587,4
